Ref,Val,Package,PosX,PosY,Rot,Side
"MX58","1u","MXOnly-1U-Hotswap-NoLED",-223.312500,-66.150000,180.000000,bottom
"MX59","1.75u","MXOnly-1.75U-Hotswap-NoLED",-249.506250,-66.150000,180.000000,bottom
"MX60","1u","MXOnly-1U-Hotswap-NoLED",-275.700000,-66.150000,180.000000,bottom
"MX61","1u","MXOnly-1U-Hotswap-NoLED",-294.750000,-66.150000,180.000000,bottom
"MX62","1.5u","MXOnly-1.5U-Hotswap-NoLED",-13.762500,-85.200000,0.000000,bottom
"MX63","1u","MXOnly-1U-Hotswap-NoLED",-37.575000,-85.200000,0.000000,bottom
"MX64","1.5u","MXOnly-1.5U-Hotswap-NoLED",-61.387500,-85.200000,0.000000,bottom
"MX65","7u","MXOnly-7U-Hotswap-NoLED",-142.350000,-85.200000,0.000000,bottom
"MX66","1.25u","MXOnly-1.25U-Hotswap-NoLED",-201.881250,-85.200000,180.000000,bottom
"MX67","1.5u","MXOnly-1.5U-Hotswap-NoLED",-223.312500,-85.200000,180.000000,bottom
"MX68","1u","MXOnly-1U-Hotswap-NoLED",-256.650000,-85.200000,180.000000,bottom
"MX69","1u","MXOnly-1U-Hotswap-NoLED",-275.700000,-85.200000,180.000000,bottom
"MX70","1u","MXOnly-1U-Hotswap-NoLED",-294.750000,-85.200000,180.000000,bottom
"MX71","1.25u","MXOnly-1.25U-Hotswap-NoLED",-11.381250,-85.200000,180.000000,bottom
"MX72","1.25u","MXOnly-1.25U-Hotswap-NoLED",-35.193750,-85.200000,180.000000,bottom
"MX73","1.25u","MXOnly-1.25U-Hotswap-NoLED",-59.006250,-85.200000,180.000000,bottom
"MX74","6.25u","MXOnly-6.25U-Hotswap-NoLED-ReversedStabilizers",-130.443750,-85.200000,180.000000,bottom
"MX75","1.25u","MXOnly-1.25U-Hotswap-NoLED",-225.693750,-85.200000,0.000000,bottom
"R1","10k","R_0805_2012Metric",-49.710000,-34.520000,-90.000000,bottom
"R2","22","R_0805_2012Metric",-32.340000,-18.753750,0.000000,bottom
"R3","22","R_0805_2012Metric",-32.340000,-16.253750,0.000000,bottom
"R4","10k","R_0805_2012Metric",-24.850000,-43.350000,90.000000,bottom
"SW1","Reset","SW_SPST_TL3342",-55.243750,-35.485000,0.000000,bottom
"U1","SRV05-4","SOT-23-6",-38.223750,-17.503750,90.000000,bottom
"U2","ATmega32U4-AU","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",-28.553750,-37.758750,-90.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-42.760000,-35.660000,180.000000,bottom
